buyers_id,seller_name,email,phone_number,city_id
1,Surya Nababan,suryanababan@gmail.com,+62 (826) 324-8498,1375
2,Kenzie Natsir,kenzienatsir@yahoo.com,+62 (94) 035-1870,3578
3,Victoria Pertiwi,victoriapertiwi@hotmail.com,+62 (066) 647 0062,6471
4,Irsad Gunarto,irsadgunarto@hotmail.com,+62 (843) 848 6210,3273
5,Respati Sinaga,respatisinaga@yahoo.com,(0858) 484 6975,3174
6,Raisa Waskita,raisawaskita@gmail.com,+62 (0641) 107-9380,1375
7,Ulya Prasetyo,ulyaprasetyo@hotmail.com,+62-15-532-9556,3173
8,Prabowo Prasetya,prabowoprasetya@yahoo.com,+62 (270) 278-4565,3173
9,Kajen Simanjuntak,kajensimanjuntak@gmail.com,+62-018-337-9526,3171
10,Kasim Pradana,kasimpradana@hotmail.com,(054) 475-8152,6472
11,Tedi Ramadan,tediramadan@hotmail.com,+62 (07) 479-3875,7371
12,Lanjar Saefullah,lanjarsaefullah@yahoo.com,(0686) 737-1994,3471
13,Umaya Irawan,umayairawan@yahoo.com,+62 (083) 119 3408,1375
14,Belinda Nababan,belindanababan@hotmail.com,+62-881-758-2031,3471
15,Rahmi Mandasari,rahmimandasari@yahoo.com,082 903 3072,3471
16,Wakiman Budiman,wakimanbudiman@yahoo.com,+62-0483-339-7148,7371
17,Nalar Damanik,nalardamanik@gmail.com,+62 (583) 185 9032,7371
18,Dalimin Januar,daliminjanuar@yahoo.com,+62-080-721-8341,3173
19,Raina Sirait,rainasirait@yahoo.com,(004) 031 9389,3573
20,Jumadi Melani,jumadimelani@gmail.com,084 821 5997,3175
21,Estiawan Anggraini,estiawananggraini@gmail.com,+62-85-047-4316,6471
22,Margana Novitasari,margananovitasari@gmail.com,0810076998,1375
23,Jagapati Halim,jagapatihalim@hotmail.com,0870358823,1375
24,Dalima Nasyidah,dalimanasyidah@gmail.com,+62 (041) 419-4302,3273
25,Galih Sihombing,galihsihombing@gmail.com,(0748) 108-9600,3172
26,Nasim Nurdiyanti,nasimnurdiyanti@hotmail.com,+62 (59) 260-3281,3573
27,Zelaya Salahudin,zelayasalahudin@yahoo.com,+62 (048) 012-8390,3172
28,Kamila Sitompul,kamilasitompul@yahoo.com,+62 (25) 869 6150,6471
29,Indah Kurniawan,indahkurniawan@gmail.com,(080) 118-3246,3573
30,Usman Samosir,usmansamosir@yahoo.com,+62 (594) 678-7411,3172
31,Gilang Mangunsong,gilangmangunsong@hotmail.com,+62-068-979-0691,3174
32,Alika Haryanti,alikaharyanti@hotmail.com,+62 (05) 623-0706,3172
33,Gatot Mulyani,gatotmulyani@gmail.com,(0101) 078-4052,3175
34,Aslijan Napitupulu,aslijannapitupulu@gmail.com,+62 (65) 285-7535,1375
35,Rusman Wahyuni,rusmanwahyuni@hotmail.com,+62-733-681-5814,6472
36,Ajimat Halim,ajimathalim@yahoo.com,+62 (39) 831 3251,3578
37,Marsito Narpati,marsitonarpati@hotmail.com,+62 (316) 085 7769,3172
38,Samiah Simanjuntak,samiahsimanjuntak@yahoo.com,+62-0379-339-5734,6471
39,Okto Maryati,oktomaryati@yahoo.com,+62-0561-826-9206,6471
40,Jamalia Firmansyah,jamaliafirmansyah@yahoo.com,+62 (049) 645-3259,3172
41,Arsipatra Wacana,arsipatrawacana@gmail.com,+62 (49) 547 0789,3172
42,Ida Maryadi,idamaryadi@yahoo.com,+62-0507-798-5998,3578
43,Yulia Widiastuti,yuliawidiastuti@gmail.com,(0136) 932-8334,3273
44,Aswani Hassanah,aswanihassanah@gmail.com,+62 (972) 953-8199,3578
45,Ella Sirait,ellasirait@yahoo.com,+62-001-529-0611,3171
46,Clara Farida,clarafarida@yahoo.com,(043) 335-0363,6472
47,Eka Simanjuntak,ekasimanjuntak@yahoo.com,089 033 3364,3273
48,Manah Rajasa,manahrajasa@gmail.com,+62 (96) 616 1073,1371
49,Cakrawala Pratama,cakrawalapratama@yahoo.com,(052) 911 2613,3175
50,Kayla Thamrin,kaylathamrin@gmail.com,(005) 568-2441,5171
